P45985	Q14315
Q86TC9	P35609
Q04771	P49354
P23769	P29590
P15927	P40763
P84077	Q9NZ52
P61204	P53365
P61204	P53367
P05067	Q92624
P51693	O75553
Q99967	P05549
Q09472	P05549
P04114	P55157
P32121	Q12967
P07333	P62993
P48634	P62993
P02730	Q9BWU0
P20749	Q99728
P08588	O14908
P38398	P18846
P38398	P43246
P38398	Q99728
P38398	P52701
O00192	P55291
P61457	Q13936
P49810	P07384
P20807	Q8WZ42
Q14643	P35219
Q96QZ7	P35222
P06400	P39880
Q99816	P38936
O43823	P49736
P63104	P30304
Q8NF50	P60953
Q15642	P60953
Q16667	P24941
Q99708	P28749
P61296	P07199
Q00610	O14964
P17936	P02452
P10599	P02452
P15336	P84022
P15336	Q13485
P30281	Q9UBQ5
Q15311	P14635
P23284	P49069
P21291	P21291
P41240	P06213
P41240	P08069
P07585	P00533
Q14190	P27540
P81133	P27540
Q8IUM7	P27540
Q99075	Q05516
P12004	P24522
Q92547	Q02880
P21333	P35462
Q09472	P18146
Q92793	P18146
Q14980	P11171
P19174	P68104
Q86UP2	P29692
P35968	P08758
Q86YN6	P03372
P51532	P03372
Q8TDD1	P03372
P03372	Q5QJE6
P11362	P14324
P01137	P49354
P63165	P25445
P63165	P48023
P48634	P02671
P21333	P05556
P11362	O43559
P18507	O95166
P31947	P04150
O43294	P04150
P04150	O95905
P35557	O60825
P11021	Q9BZG8
P11168	P52292
P14672	Q9UER7
Q13002	O00560
Q13002	Q9NRD5
P39086	Q9NRD5
P39086	O00560
O60563	P28799
P49795	P19086
P49795	P09471
P49795	P04899
P49795	P08754
Q03933	P63279
P53667	Q02297
P21781	P98160
P48634	Q9UI95
P48634	O15460
P48634	P46092
Q07021	P48634
P60228	P48634
P48634	Q14697
P09651	P48634
P48634	P25788
P52272	P48634
P48634	Q9NTJ4
P48634	Q9UNL2
P48634	Q9UHI6
Q14157	P48634
Q16891	P48634
P48634	Q10570
P48634	P55345
P48634	P47897
Q13099	P48634
P42858	Q9BYW2
P54257	P42858
P42858	Q8IUH5
Q9NX55	P42858
Q15642	P42858
Q14814	P27348
P15923	P61296
P15923	Q02535
P08069	P35568
P62258	P08069
