ENCSR637QAM	Q8IYM9
ENCSR274CGK	Q06710
ENCSR788RSW	P35712
ENCSR855WKQ	Q9UKY1
ENCSR557RVF	Q9UKY1
ENCSR815ZDS	P36956
ENCSR887ZEN	O75182
ENCSR364SNE	Q01860
ENCSR485GKE	Q16236
ENCSR986CDX	Q13562
ENCSR376WCJ	P14316
ENCSR124BJR	P41212
ENCSR618GDK	Q03701
ENCSR782WRO	P35226
ENCSR157CAU	P17029
ENCSR771GTF	Q15022
ENCSR620YNB	Q92831
ENCSR452YHM	O75182
ENCSR529JYA	P51610
ENCSR049KIZ	P39880
ENCSR177HDZ	P01100
ENCSR699TNT	O14867
ENCSR887MXT	Q9UKY1
ENCSR184MFH	P26651
ENCSR680OFU	Q09472
ENCSR140DSL	Q9ULX9
ENCSR392EAA	O14646
ENCSR459FTB	P17480
ENCSR404BPV	Q9UQE7
ENCSR769ZTN	P35269
ENCSR332EYT	P42224
ENCSR679FAB	Q99496
ENCSR916BOH	P06400
ENCSR664POU	Q04206
ENCSR974OFJ	Q13887
ENCSR408JQO	Q14653
ENCSR597VGC	P41212
ENCSR517QHU	O14503
ENCSR294JWV	P26651
ENCSR277OOQ	O75152
ENCSR563FBT	Q15853
ENCSR638QYO	Q12772
ENCSR897MYK	P36956
ENCSR513XQX	Q96ST3
ENCSR064LJN	P48382
ENCSR356WVQ	Q92831
ENCSR541WQI	O60675
ENCSR137ZMQ	Q13127
ENCSR851BNE	O14770
ENCSR109YGM	Q96BA8
ENCSR900XDB	P26651
ENCSR617GUC	Q09472
ENCSR237YZZ	Q9ULX9
ENCSR904YPP	P04150
ENCSR725LYT	Q99856
ENCSR585CVE	O14867
ENCSR819ATC	P10242
ENCSR441JTL	P50539
ENCSR189PYJ	Q15796
ENCSR038DJJ	Q15797
ENCSR138FUZ	Q99496
ENCSR506CVF	P06400
ENCSR979UVS	P40425
ENCSR111HAT	Q15233
ENCSR010KFT	Q15233
ENCSR509GDT	Q5VTD9
ENCSR443YGY	P35226
ENCSR219NRT	P35269
ENCSR488EES	Q16236
ENCSR009MBP	Q00613
ENCSR514VAY	P51610
ENCSR584GHV	Q16236
ENCSR636YLV	P56270
ENCSR116TFA	P04150
ENCSR473SUA	P11474
ENCSR623KNM	P19419
ENCSR618ICR	Q9UKL0
ENCSR067HGI	O14647
ENCSR398YBM	O14646
ENCSR996DUT	P05412
ENCSR857KDI	P38398
ENCSR043EHG	O14867
ENCSR681NOM	P17676
ENCSR331HPA	Q06546
ENCSR198ZYJ	O60216
ENCSR934NHU	P50539
ENCSR843ZUP	Q09472
ENCSR822CEA	P49711
ENCSR924TVL	P48382
ENCSR348JOJ	Q13330
ENCSR663ZZZ	Q99583
ENCSR288IJC	P56270
ENCSR555PBN	O60675
ENCSR176EXN	P05412
ENCSR062HDL	Q00613
ENCSR557JTZ	P35269
ENCSR954WVZ	P11474
ENCSR991ELG	P08047
ENCSR414TYY	Q01196
ENCSR494TDU	Q16656
ENCSR998AJK	Q16656
ENCSR180NCY	Q9BTC8
ENCSR486IFJ	P11474
ENCSR972ZBV	P17544
ENCSR928API	P22670
ENCSR611WZO	Q12772
ENCSR117KWH	O43670
ENCSR224IKA	Q14186
ENCSR353HEP	Q13148
ENCSR016UEH	Q13148
ENCSR286PCG	O96006
ENCSR501DKS	P36402
ENCSR626VUC	P41212
ENCSR077DKV	Q03060
ENCSR839XZU	Q03060
ENCSR407BEZ	Q9Y6X8
ENCSR574GKC	P55055
ENCSR964ASM	P55055
ENCSR272JAT	P45973
ENCSR000BHK	P08047
ENCSR678AFU	P84243
ENCSR449AYM	Q71DI3
ENCSR124VOE	Q71DI3
ENCSR867TPP	Q71DI3
ENCSR857GMX	Q71DI3
ENCSR005SXO	Q71DI3
ENCSR629TDG	P0C0S5
ENCSR660IQK	Q71DI3
ENCSR165LOF	Q71DI3
ENCSR076NBJ	Q71DI3
ENCSR511OIE	Q71DI3
ENCSR543IKB	Q71DI3
ENCSR464DKE	P49711
ENCSR566GSO	Q71DI3
ENCSR125DKL	P49711
ENCSR760ZVL	P62805
ENCSR900HAP	P0C0S5
ENCSR752KQT	Q71DI3
ENCSR963HAR	Q71DI3
ENCSR867UKC	Q71DI3
ENCSR316KHQ	Q71DI3
ENCSR060WGK	Q71DI3
ENCSR447ZGY	Q71DI3
ENCSR045HLL	Q71DI3
ENCSR018LUP	Q71DI3
ENCSR587FCM	Q71DI3
ENCSR471VHW	Q71DI3
ENCSR910XKX	Q71DI3
ENCSR870IGD	Q71DI3
ENCSR306VSH	Q71DI3
ENCSR623GZY	Q71DI3
ENCSR654VRX	Q71DI3
ENCSR778VGY	Q71DI3
ENCSR473TDG	Q71DI3
ENCSR113REG	P49711
ENCSR059MVB	Q71DI3
ENCSR494LJG	Q71DI3
ENCSR329NAJ	Q71DI3
ENCSR183CQK	Q71DI3
ENCSR036KFJ	Q71DI3
ENCSR638FRE	Q71DI3
ENCSR597UDW	Q71DI3
